Point	Label	1	2	3	4	5	6	7	8	9	Right	Left	Up	Down
111	1D	1	0	0	0	0	0	0	0	0	0	0	0	1
112	6U	0	0	0	0	0	1	0	0	0	0	0	1	0
113	1R	1	0	0	0	0	0	0	0	0	1	0	0	0
114	4U	0	0	0	1	0	0	0	0	0	0	0	1	0
115	5R	0	0	0	0	1	0	0	0	0	1	0	0	0
116	9U	0	0	0	0	0	0	0	0	1	0	0	1	0
117	5L	0	0	0	0	1	0	0	0	0	0	1	0	0
118	1D	1	0	0	0	0	0	0	0	0	0	0	0	1
119	6R	0	0	0	0	0	1	0	0	0	1	0	0	0
120	5R	0	0	0	0	1	0	0	0	0	1	0	0	0
121	9U	0	0	0	0	0	0	0	0	1	0	0	1	0
122	5R	0	0	0	0	1	0	0	0	0	1	0	0	0
123	2D	0	1	0	0	0	0	0	0	0	0	0	0	1
124	8D	0	0	0	0	0	0	0	1	0	0	0	0	1
125	4L	0	0	0	1	0	0	0	0	0	0	1	0	0
126	7U	0	0	0	0	0	0	1	0	0	0	0	1	0
127	9D	0	0	0	0	0	0	0	0	1	0	0	0	1
128	7D	0	0	0	0	0	0	1	0	0	0	0	0	1
129	9D	0	0	0	0	0	0	0	0	1	0	0	0	1
130	9R	0	0	0	0	0	0	0	0	1	1	0	0	0
131	2D	0	1	0	0	0	0	0	0	0	0	0	0	1
132	4L	0	0	0	1	0	0	0	0	0	0	1	0	0
133	1D	1	0	0	0	0	0	0	0	0	0	0	0	1
134	6L	0	0	0	0	0	1	0	0	0	0	1	0	0
135	3U	0	0	1	0	0	0	0	0	0	0	0	1	0
136	8D	0	0	0	0	0	0	0	1	0	0	0	0	1
137	3R	0	0	1	0	0	0	0	0	0	1	0	0	0
138	6R	0	0	0	0	0	1	0	0	0	1	0	0	0
139	2D	0	1	0	0	0	0	0	0	0	0	0	0	1
